Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2010-01-31,-0.0335,0.004,0.0033,-0.0108,0.0051,0.0
2010-02-28,0.0339,0.0149,0.0318,-0.0029,0.014199999999999999,0.0
2010-03-31,0.063,0.0183,0.0219,-0.0060999999999999995,0.0174,0.0001
2010-04-30,0.02,0.0496,0.0296,0.0060999999999999995,0.0175,0.0001
2010-05-31,-0.079,0.0008,-0.0248,0.013000000000000001,-0.0024,0.0001
2010-06-30,-0.0557,-0.0242,-0.0473,-0.001,-0.0158,0.0001
2010-07-31,0.0692,0.0004,-0.005,0.0017000000000000001,0.0202,0.0001
2010-08-31,-0.04769999999999999,-0.030600000000000002,-0.0173,0.006,-0.016,0.0001
2010-09-30,0.0955,0.0365,-0.0302,-0.0019,0.0038,0.0001
2010-10-31,0.0387,0.0073,-0.0246,0.0128,-0.0038,0.0001
2010-11-30,0.0059,0.0354,-0.009000000000000001,0.0032,0.0179,0.0001
2010-12-31,0.0682,0.0097,0.0356,-0.0342,0.0317,0.0001
2011-01-31,0.019799999999999998,-0.0231,0.0060999999999999995,-0.0064,0.008100000000000001,0.0001
2011-02-28,0.0348,0.0165,0.0118,-0.0183,0.0084,0.0001
2011-03-31,0.0046,0.0256,-0.0184,0.0173,-0.0007000000000000001,0.0001
2011-04-30,0.028999999999999998,-0.0053,-0.024399999999999998,0.011200000000000002,-0.0086,0.0
2011-05-31,-0.0127,-0.0072,-0.018500000000000003,0.0192,-0.0143,0.0
2011-06-30,-0.0174,0.0006,-0.002,0.0227,-0.014199999999999999,0.0
2011-07-31,-0.0235,-0.0111,-0.0091,0.0268,-0.0173,0.0
2011-08-31,-0.0596,-0.030899999999999997,-0.024300000000000002,0.0341,-0.0026,0.0001
2011-09-30,-0.0757,-0.0349,-0.015300000000000001,0.0199,0.0015,0.0
2011-10-31,0.1134,0.0325,0.0006,-0.0225,-0.0073,0.0
2011-11-30,-0.0027,-0.003,-0.0052,0.0194,0.0144,0.0
2011-12-31,0.0075,-0.0029,0.0154,0.0106,0.024700000000000003,0.0
