Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
2000-01-31,-0.0472,-0.013300000000000001,-0.0866,0.0128,-0.0521,-0.0385,-0.1101,0.07629999999999999,0.0554,-0.0475
2000-02-29,-0.06269999999999999,-0.08810000000000001,-0.0374,-0.055999999999999994,0.1804,-0.0369,-0.0395,-0.025099999999999997,-0.0707,-0.0738
2000-03-31,0.07429999999999999,0.10890000000000001,0.07519999999999999,0.1192,0.0409,0.0827,0.13390000000000002,-0.0003,0.058899999999999994,0.1436
2000-04-30,-0.0196,0.08689999999999999,0.0146,-0.0231,-0.10550000000000001,-0.0833,-0.044800000000000006,0.0504,0.0742,-0.028300000000000002
2000-05-31,0.071,-0.1231,-0.0172,0.09390000000000001,-0.1085,-0.09970000000000001,-0.028300000000000002,0.037200000000000004,0.039599999999999996,0.0335
2000-06-30,0.0218,-0.08990000000000001,-0.0128,-0.050499999999999996,0.1263,0.039900000000000005,-0.022099999999999998,0.1099,-0.046799999999999994,-0.0313
2000-07-31,0.0072,0.0473,-0.014499999999999999,-0.0268,-0.051500000000000004,-0.0674,-0.012199999999999999,-0.06509999999999999,0.0387,0.0536
2000-08-31,-0.0208,0.054400000000000004,0.0741,0.0875,0.1268,-0.0149,-0.024,0.035,0.1166,0.0924
2000-09-30,0.0373,-0.0416,-0.057,0.045599999999999995,-0.14730000000000001,-0.044500000000000005,0.026600000000000002,0.036699999999999997,0.08800000000000001,0.0025
2000-10-31,0.0748,0.0255,0.034,-0.0281,-0.0747,-0.0017000000000000001,-0.0175,0.0206,-0.0167,-0.0129
2000-11-30,0.027000000000000003,-0.1114,-0.0308,-0.0252,-0.23199999999999998,-0.1653,-0.0104,0.0075,0.0296,-0.059800000000000006
2000-12-31,0.054400000000000004,0.0008,0.0697,0.075,-0.0799,-0.042699999999999995,0.0567,0.0349,0.0647,0.0647
2001-01-31,-0.0218,0.1305,-0.0098,-0.034300000000000004,0.1618,0.155,0.0641,-0.0851,-0.1023,0.0063
2001-02-28,0.0014000000000000002,-0.0125,-0.0379,-0.0003,-0.2607,-0.10300000000000001,-0.0533,-0.0054,0.061799999999999994,-0.0425
2001-03-31,-0.0478,-0.0333,-0.0605,-0.001,-0.1389,-0.06,-0.0287,-0.0859,0.0105,-0.045
2001-04-30,0.0092,0.087,0.0755,0.1002,0.1801,0.0401,0.055999999999999994,0.0425,0.0541,0.0608
2001-05-31,0.034,-0.015600000000000001,0.0215,0.001,-0.032,-0.0163,0.0161,0.0277,0.004699999999999999,0.0364
2001-06-30,-0.0152,0.0379,-0.04650000000000001,-0.0746,0.0141,-0.0268,-0.0258,-0.0298,-0.061500000000000006,-0.0009
2001-07-31,-0.0054,0.0326,0.0053,-0.0223,-0.0757,-0.0096,0.0455,0.022799999999999997,-0.0384,-0.0217
2001-08-31,0.0199,-0.1005,-0.0218,-0.035,-0.1263,-0.0864,-0.0692,-0.031,0.0053,-0.052000000000000005
2001-09-30,-0.0352,-0.1727,-0.127,-0.061799999999999994,-0.19,-0.0235,-0.0951,-0.0063,-0.066,-0.0787
2001-10-31,0.0128,0.010700000000000001,0.0394,0.051399999999999994,0.157,-0.09570000000000001,0.015700000000000002,0.0126,0.0176,-0.0098
2001-11-30,0.0258,0.1501,0.08460000000000001,-0.0421,0.1589,0.058499999999999996,0.0981,0.050199999999999995,-0.0143,0.07200000000000001
2001-12-31,0.0189,-0.0084,0.0264,0.059699999999999996,-0.0063,0.026000000000000002,0.0434,-0.0282,0.0404,0.0368
2002-01-31,0.0087,0.0285,0.015600000000000001,-0.0287,-0.0052,-0.07150000000000001,0.026099999999999998,-0.0241,-0.0433,-0.015600000000000001
2002-02-28,0.0424,0.0327,0.0436,0.0556,-0.1315,-0.0275,-0.0015,-0.0045000000000000005,-0.0036,-0.0025
2002-03-31,0.038,0.0689,0.0493,0.07690000000000001,0.065,0.0036,0.0209,0.0054,0.10289999999999999,0.0524
2002-04-30,0.0212,0.019299999999999998,-0.0151,-0.0455,-0.11900000000000001,-0.1276,-0.016200000000000003,-0.0755,-0.0042,-0.0275
2002-05-31,0.0127,-0.0043,-0.0026,-0.0074,-0.0359,0.03,-0.0144,-0.022799999999999997,-0.0692,-0.0053
2002-06-30,-0.0605,-0.0816,-0.0298,0.0001,-0.1215,-0.14400000000000002,-0.051,-0.0953,-0.0581,-0.051100000000000007
2002-07-31,-0.0663,-0.1192,-0.0852,-0.1183,-0.09699999999999999,-0.1167,-0.1143,-0.0276,-0.12140000000000001,-0.0637
2002-08-31,0.0225,0.0062,-0.0129,0.0063,-0.0096,0.002,0.0184,0.006500000000000001,0.034,0.0113
2002-09-30,-0.07730000000000001,-0.109,-0.0834,-0.0785,-0.166,-0.09849999999999999,-0.0944,-0.058899999999999994,-0.10880000000000001,-0.106
