date,CSI300,CSI500,CSI1000,GEM,Value,Growth,Dividend,LowVol
2015-12-31,0.046150865351507475,0.028250368264452375,0.061311603919133706,0.01551571308783517,0.03723964454149464,0.03979250050263339,0.033744365720139946,0.05495301602739655
2016-01-31,-0.2103762927146975,-0.2820493196821241,-0.3041741773117391,-0.26528012769118303,-0.16692020374465533,-0.2404624870865516,-0.21583166273119958,-0.17827263382171543
2016-02-29,-0.02329290686978336,-0.02170200900509678,-0.02736116897396723,-0.05687126548031285,-0.016195484939937388,-0.020638274140317936,-0.010448956226542072,-0.010477469034773423
2016-03-31,0.11837529327008789,0.15052610685413548,0.17588529883586057,0.1901598375038549,0.08800620630849387,0.14452904388488963,0.11731536191244829,0.09759583220074286
2016-04-30,-0.019061939884801204,-0.027651907611243698,-0.0184061448206555,-0.04447510282421474,0.00028835588770581566,-0.031138729105290475,-0.011085047668156656,-0.0021429658903799886
2016-05-31,0.004059561351962282,-0.006394018705578763,-0.011353764771248942,0.009848331118631704,0.005050425751864429,0.0074843371455843855,-0.008262292739584232,0.0005381283536862735
2016-06-30,-0.004934123348351194,0.02962207191741073,0.06630536390292852,0.031479752069750955,-0.02109313755968867,-0.006223996718594194,-0.004505861813607348,-0.019827181259041038
2016-07-31,0.015856135901945567,0.012966126855027627,-0.027457531369911248,-0.0473020135192217,0.023083525132163274,0.02545499967113174,0.03700092507037933,
2016-08-31,0.03866002066212437,0.03729195994384549,0.03967608859569771,0.03267320388312922,0.03912860226513004,0.029573674680751783,0.03800512168226566,
2016-09-30,-0.022389907548363897,-0.01649371096063068,-0.020067139000585987,-0.01909745510225125,-0.018637558953537026,-0.027673692873962707,-0.015376916313704081,
2016-10-31,0.025510522441163364,0.019614145572610653,0.02880596382481082,0.004585792555099166,0.025113782966620368,0.03266065960859876,0.02707916421986667,
2016-11-30,0.06046348655597655,0.020670759737057454,0.011717064840747637,0.010783142571396676,0.07263938632206557,0.057531830890991564,0.054263365915198536,
2016-12-31,-0.06442055838876248,-0.04888743250782246,-0.058131675813177575,-0.10122997697257363,-0.04684223031794987,-0.061376156912137936,-0.04929524112475303,
2017-01-31,0.023528125142556755,-0.006373305174989685,-0.03356432286431277,-0.03864664620177072,0.039163385002217055,0.022920851667051823,0.028990793992473174,
2017-02-28,0.019141011363472016,0.03651586369921711,0.036829119053906734,0.02169828525865336,0.01041061274638544,0.00908623570955669,0.028273096233051742,
2017-03-31,0.0009372076656404271,-0.00764567189120402,-0.019856404836528285,-0.010285601610660278,-0.00046287505737285795,-0.009626084371987864,0.011350902400249385,
2017-04-30,-0.004714346973390904,-0.029646428544649717,-0.059606103550651435,-0.02967696339086201,-0.007693124971839271,-0.0067000321987482625,-0.004883716573761965,
2017-05-31,0.015446457928810498,-0.06242218516766784,-0.08025751324711994,-0.04701107776698321,0.05565091578520742,0.024083798018223135,0.008241758241758212,
2017-06-30,0.049790645841474745,0.053922800829105944,0.03508618691263288,0.030808587940664323,0.03349222461153589,0.04132393651633959,0.04355085981697471,
2017-07-31,0.01938339663106614,0.02604104555179121,-0.0027867215697472414,-0.044974690151683094,0.03198577553617277,0.025525388759084944,0.01604552350171562,
2017-08-31,0.02253153063252822,0.02737789774531607,0.031553439462444155,0.06512641824569476,0.012897838958493946,0.030656085464824345,0.011623548931430028,
2017-09-30,0.003769662328991119,0.020529251087950007,0.02118720483716463,0.009518330207058723,-0.02014199896676183,0.010486591892707064,0.004060942722376781,
2017-10-31,0.044367771571022674,-0.006520113780180359,-0.026911148950103936,0.0015024247689587877,0.03922159300834327,0.049966481754372793,0.02039745304724705,
2017-11-30,-0.00015449053314953165,-0.04524004966308215,-0.06262961845280623,-0.053206595189719486,0.02858530335891918,0.0015890743464841428,-0.008761519538748597,
2017-12-31,0.006179577688918858,-0.002011680198409249,-0.01904251204258356,-0.009970050307800515,-0.008081918297583202,0.012662250406657583,0.005291400511365341,
2018-01-31,0.06079206520700953,-0.009835508007668081,-0.03225462143763358,-0.010039072217416845,0.10216930002815117,0.05378884312642751,0.06757259376183367,
2018-02-28,-0.05899507916346958,-0.026766015961957934,-0.033456147679969184,0.01070281840884757,-0.0678364742049733,-0.06650852238335125,-0.055608155668292136,
2018-03-31,-0.03110217062054721,0.015117178427727973,0.03578105880001359,0.08374357830941248,-0.058564546236785864,-0.022151615649920853,-0.039230853384375375,
2018-04-30,-0.03632706750138137,-0.04149875268572423,-0.04142193735596433,-0.049927334223633824,-0.02191819954571883,-0.03623086339261228,-0.034978179517930474,
2018-05-31,0.012110856969765216,-0.018172545770471338,-0.030977493818526103,-0.03425627881320081,-0.009522783087245301,0.03539415452794081,0.026731494308365855,
2018-06-30,-0.07663392573485628,-0.09326845628836689,-0.11189497293185358,-0.07858268104875543,-0.06496709508985066,-0.06994004238408291,-0.08171631119813605,
2018-07-31,0.0019003214197725882,-0.005566944001300311,-0.011766528734058257,-0.028291887484712563,0.030746076751249518,0.00100394642211743,0.00495841793007501,
2018-08-31,-0.05206675920932602,-0.07205885385539434,-0.08742521257841396,-0.08074129964426124,-0.024722468820554955,-0.057786509864235835,-0.05638552567599753,
2018-09-30,0.031297308385294986,-0.0029274174923110685,-0.013980270799537675,-0.01662486064659985,0.0523668180539929,0.04097829903591199,0.03480800015312835,
2018-10-31,-0.08288839486283994,-0.1100201656873363,-0.11763141901395813,-0.09619652245383814,-0.041928603459492564,-0.1107937523106931,-0.07309192864948533,
2018-11-30,0.005982263430763357,0.024364595211480156,0.05625829855976883,0.04218884988248406,-0.02448712760825078,0.022399351962422376,0.010118120005303988,
2018-12-31,-0.05107211861228167,-0.04766544099586645,-0.046934458704732784,-0.05932349372531276,-0.045873864554605626,-0.050419726165706336,-0.0026199983415429173,
2019-01-31,0.06343439000296947,0.002024454683212884,-0.016769209376743865,-0.018022030747086304,0.0696049462148931,0.06739926198989532,0.042709291688277196,
2019-02-28,0.14609325928362193,0.20323770721426726,0.2237516231470411,0.2505659664426687,0.07916037501836315,0.1584488997340776,,
2019-03-31,0.055314945072314936,0.10394721420112774,0.10897487007861995,0.10279941133569492,0.01642231560353058,0.07092224697586214,,
2019-04-30,0.01055433909358694,-0.04327881901833852,-0.03873588022219476,-0.04119460516891482,0.027229257137504126,0.02610328027675246,,
2019-05-31,-0.0724269659877782,-0.07452746648177322,-0.06124138455354555,-0.0862948351441265,-0.06385239388292996,-0.06806467652229198,,
2019-06-30,0.05394197844557902,0.007833671043633528,-0.002402400488316192,0.01877049832238975,0.043866089145707665,0.0677826174843632,,
2019-07-31,0.0025543792364413065,-0.009549983031948206,-0.022801752836125067,0.038958469924386785,-0.00408450231869073,-0.009776238230220224,,
2019-08-31,-0.009327158161726246,-0.0034077724295732414,-0.0032959013248796687,0.025792906616369127,-0.04778850248229938,0.020677963297591972,,
2019-09-30,0.0039325337023559115,0.01113456805636126,0.009537221616390257,0.010333987626777175,0.009646153928947854,0.002930684296097663,,
2019-10-31,0.018933928391664745,-0.004753382124684458,0.004107876577172265,0.026891422356985384,0.017745997403940894,0.009521021848787559,,
2019-11-30,-0.014943325429561782,-0.004570488937586603,-0.02422323611821442,-0.003838900217314256,-0.009767730228488869,-0.01680659936852391,,
2019-12-31,0.06997493386086195,0.07614390528018511,0.08590814796898161,0.0800182113477359,0.05141380276071339,0.06573320361281598,,
2020-01-31,-0.022623982627468564,0.02089712665694954,0.02370652374433546,0.07208870608046869,-0.04648418692555889,-0.017892088104889292,,
2020-02-29,-0.015947447252067426,0.013676560473998345,0.03017332139207385,0.07460749415637569,-0.04508181071844508,-0.015313651781119098,,
2020-03-31,-0.06443930012037913,-0.07518165425064516,-0.07559812133131083,-0.09637588182080603,-0.05089896682545003,-0.047186877096094926,,
2020-04-30,0.06142498077264791,0.06196765099267987,0.046255370239751015,0.10551482784760213,0.03318411628396878,0.0746610044585283,,
2020-05-31,-0.011642965748661305,0.009802273499867509,0.024344832468793598,0.008327889005292466,-0.03607651258679212,0.005465841597313226,,
2020-06-30,0.07678800979461453,0.08472941028496184,0.08650643009421644,0.1684653892860668,-0.0022552398213621094,0.09119422192345938,,
2020-07-31,0.127542409108244,0.12196508569651265,0.13007812574174515,0.14650292818832922,0.04725759394431539,0.14675476872233784,,
2020-08-31,0.025807840860345044,0.013490494204116521,0.011545604957550193,-0.023999069900550896,0.0294115375139008,0.03657255835200357,,
2020-09-30,-0.04751033747455202,-0.07137029044154752,-0.08400929340704655,-0.05628203215686778,-0.02879218898055058,-0.047297179612816764,,
2020-10-31,0.023529475879011885,-0.013084365696919176,-0.016019110316073615,0.03150082454351044,0.023675734749712296,0.007376610367336944,,
2020-11-30,0.056421545304338405,0.03427385837800356,0.01707852888840966,-0.009027567289752958,0.09393574554314799,0.044537878717838764,,
2020-12-31,0.05060972708644629,0.007304446930711528,0.0036414516337757163,0.12704449161799736,-0.03829712215461789,0.10237791929275453,,
2021-01-31,0.026994472960528704,-0.0032947418100662818,-0.05150941687276589,0.05481961098435195,0.009535300079683395,0.024987034552323317,,
2021-02-28,-0.002840825752784215,0.002870407619627535,0.003376681718203711,-0.06863575130278865,0.045062141199724515,-0.014939900951894569,,
2021-03-31,-0.054040268994620666,-0.01732823430755659,-0.005061019808217826,-0.053399439211862965,-0.005597377151277172,-0.07234557029318334,,
2021-04-30,0.014881661592742512,0.03703796087987499,0.014101139735138268,0.12067931097360485,-0.03462951019912508,0.013760132381744228,,
2021-05-31,0.040613144675434976,0.03751063106757191,0.06772450477395031,0.07041287185882106,0.030829898181413018,0.050921087535025666,,
2021-06-30,-0.020168355662590898,0.011768777815277298,0.039524897631664,0.05080250668692621,-0.04551244927922227,-0.005725037854506954,,
