Date,0001.HK,0002.HK,0003.HK,0005.HK,0011.HK,0016.HK,0027.HK,0066.HK,0388.HK,0700.HK,0941.HK,1299.HK
2016-01-31,-0.07887180701029506,-0.011389454217079598,-0.10394740233408162,-0.11954779080811728,,-0.10470083356276938,-0.014314704905555975,-0.08593751346233469,-0.14206526357436244,-0.04983622591450165,-0.020571374156091005,-0.08047194806214897
2016-02-29,-0.02490926595412235,0.041474880683910254,0.004405645787067813,-0.08899061796166297,,0.036396034801675414,0.08298766891824494,0.024216514085047214,-0.00822082983948158,-0.02070384139625603,-0.04084008085733071,-0.07351243541797337
2016-03-31,0.07184657736238442,0.05061401123918308,0.05994116561019136,0.007048234123626651,,0.1045231614118598,0.11494225001934288,0.06815023492089622,0.10597942136573768,0.1162793744694619,0.05170315346578347,0.1070532374920492
2016-04-30,-0.07646444792985474,0.02280787752420954,-0.0013790873869475861,0.07024770215522191,,0.03373772149816845,-0.09464515138413421,0.0,0.05085665912637061,0.003156245909913258,0.028918347307824943,0.06257115782449119
2016-05-31,-0.010193161948806373,0.021602820933784628,0.03038655059326678,0.004483648001988305,,-0.06782260132896212,-0.0038165379462947735,0.03967133653353749,-0.03841161491933942,0.09417189893554667,-0.0039347328833194695,-0.015496436116126722
2016-06-30,-0.06263869399695254,0.08620911685256094,0.05809345942897037,-0.07519524256489751,,0.018052620134472397,-0.1187742163513712,0.06377242328563715,0.008602073238655361,0.016156854358099437,0.013979294819577381,0.01980182962303978
2016-07-31,0.07392082758179419,0.022784877300721762,0.018387409823532375,0.06758156076050392,,0.19290687141241425,0.12173909512062187,0.11989791275247108,0.02078873393422942,0.05905740930617842,0.07896223759277898,0.03667751429099031
2016-08-31,0.09801754562898313,-0.015470247801501191,0.027777995001859956,0.153836882718003,,-0.016216202898724608,-0.021317608445429514,-0.028453592783225123,0.002153917957713025,0.08203744680771274,0.0015680742247938806,0.02534810158356482
2016-09-30,-0.0038690205319712456,0.01478209736658731,-0.0027252097287168153,-0.006087306702654005,,0.07234426800170857,0.16349887983337186,0.007075325703931323,0.07432808142366243,0.055500509277937704,-0.004888008407087918,0.05096818411349657
2016-10-31,-0.026876023556489548,-0.015595934927829291,0.03825154107469597,0.03458581470313615,,-0.011101653327333039,0.09075335466064294,0.005854907196366499,0.007850839783314578,-0.03380275447543779,-0.05327668419349019,-0.05043642782308233
2016-11-30,-0.015112194192724915,-0.03865659874423766,-0.049999671945716195,0.046272288974553044,,-0.09938034372548865,0.20879099829757175,-0.09662407981702559,-0.006816021147062257,-0.05879501115013064,-0.04727040976526775,-0.03370779414074898
2016-12-31,-0.06984153233708901,-0.053480870193035934,-0.048476737437044726,0.01965608689974041,,-0.0344827232385686,-0.12207755477553761,-0.028350432600700026,-0.10196067114127305,-0.020650482481202492,-0.02894270929124032,-0.0750527289225158
2017-01-31,0.0631402893378683,0.06456119900711776,0.06695766968034467,0.07228922056493059,,0.09591845434116397,0.09911204670823848,0.050397866139116454,0.03002150739926046,0.07749093100151483,0.06873487396093814,0.10399996706386383
2017-02-28,0.02621707958626085,0.04086989383737816,0.019099642045403042,-0.03974039575456778,,0.05679689096829055,0.0013461434335344524,0.03661621027833939,0.02119779182049597,0.012719803296967092,-0.025612039141959753,0.015527932196200522
2017-03-31,-0.0031282173756108644,0.04356774228661231,0.040161082226484845,0.012799811920807258,,0.016014210928663397,0.15101091831472924,0.0633371639671041,0.0150492361168717,0.07632872861520545,-0.0064251822615297716,-0.00101935426647215
2017-04-30,0.01621330883476224,0.009845821709793867,0.0,0.015008060373582932,,0.02189146996823066,0.01762635424722281,0.02634606023371111,-0.010045364748805574,0.09245960333640979,-0.02469121140823427,0.09897948305985982
2017-05-31,0.06603387187013499,0.03839147252571329,0.07207158988987006,0.06579373495750862,,-0.011996521415331474,0.040415844746532814,0.05525870992514692,0.026617969676599795,0.10218747573587494,0.042193975897746316,0.03787685816463782
2017-06-30,-0.035432840608303984,-0.023764049430738066,-0.01727805349111433,0.07311670337796072,,-0.005203807942642746,0.05216423822769789,-0.010135369436364283,0.025927725588472006,0.04334822549225836,-0.027743738632653447,0.032579224557040654
2017-07-31,0.050000011842562975,0.007869148583779184,0.006811836568064278,0.07983485809302815,,0.054925856702550346,0.02004201781535353,0.027303684219838198,0.10406364882457853,0.12249292106028142,0.01086304234304114,0.07887842862398409
2017-08-31,-0.00485917275299208,-0.007207058646155007,0.0013532950811281363,-0.021596981256510772,,0.07933900437157004,0.015512012161951194,0.018899867409638116,-0.0294396652742559,0.04977659376634902,0.048269335473914765,-0.020104613180762287
2017-09-30,-0.01736572762775035,-0.02451111896187186,-8.74271958636319e-05,0.007237100372459171,,-0.028330981565834024,0.12706980233331788,-0.0032788525672512447,-0.016854038324492282,0.02188441251090323,-0.04638542037757509,-0.04079923404920183
2017-10-31,-0.008012093168423329,-0.008744897008886143,0.0068117601612185386,0.005467606682139303,,0.005516131182111694,-0.03454542048073628,-0.008771804866092192,0.034285751615389826,0.04045227908331661,-0.010107456931358394,0.01909696573668951
2017-11-30,-0.007571837814168703,0.003780886394410876,0.031123144737567054,0.023621794136965857,,0.023622032393605386,0.05743874904429647,0.016592724663491376,0.08287292769213161,0.1377929768123214,0.011487076190054735,0.07836470147010877
2017-12-31,-0.0020344605873493515,0.011228759885557604,0.00524935483131217,0.025000257841736984,,0.021943515084324128,0.11665182186675582,-0.0032642453387677905,0.01955781672280299,0.02010050075110037,0.0,0.05292251669939274
2018-01-31,0.07645232187067785,-0.0012504940432304101,0.009138342348656181,0.0531579982430348,,0.042177914307945485,0.10526306993006607,-0.02183402918490529,0.2360300631918184,0.14187187463221496,0.042271114670049625,0.005251339433933522
2018-02-28,-0.07196967094409568,-0.009392799439311816,0.0012938359360952223,-0.05454830914722719,,-0.03826325841452616,-0.011544041001570582,-0.07366071916619221,-0.041835186375147826,-0.06773079183527553,-0.11137993748411523,-0.02164180319638298
2018-03-31,-0.0418365281991101,0.02488473535908664,0.04134363519508866,-0.051281848244552286,,-0.04242329241519782,0.04620461835834022,0.016867444734735892,-0.10140860397280049,-0.05229061131683366,-0.01975484996371335,0.012967176965499316
2018-04-30,-0.008520025869029224,0.020025207087902785,0.01985115594992659,0.06351341737317018,,0.022580747308989624,-0.025965028534022716,0.048578066753274696,0.019273640888615606,-0.045410162445065905,0.045170052290608,0.06475889541072544
2018-05-31,-0.02726736758143833,0.011042497219174052,0.0316300159310674,-0.02513993225131661,,-0.0015772815472492319,-0.005043137579187618,0.017038315851087393,-0.013219205942273549,0.02334861684392675,-0.04857256038098545,0.02869940296831941
2018-06-30,-0.06041774098888719,0.03321939601242274,-0.011350318434026785,-0.03094158755150922,,-0.06477105553230367,-0.12020263231136397,-0.016987254719009637,-0.0701339250852101,-0.013526920651014573,-0.004285690307250345,-0.04722198401997668
2018-07-31,0.02524027220540992,0.06094652574308901,0.06657775567640778,0.013587054345131744,,0.03885131400507458,0.03785997932297458,0.013824739795584184,-0.01864407199107121,-0.098019346436369,0.015782046458540977,-0.0014576275478224154
2018-08-31,0.06037524574659714,0.029001643028139457,0.008739215604385953,-0.06684413440453008,,-0.05284548739834838,-0.07850924177809582,-0.07488548547835172,-0.019501406565752277,-0.042792755284034034,0.06838441085922198,-0.011678962357035805
2018-09-30,0.00692119517278611,0.00010891921918276815,-0.03093094038106947,0.005083386527511724,,-0.021459202541575184,-0.13728439176160656,0.01854146912195631,0.002686062689729818,-0.049411703299711784,0.04539309642670286,0.03722498505213556
2018-10-31,-0.12472304748749152,-0.04091631839733334,-0.0373229908279914,-0.05854079419251912,,-0.1061403299666609,-0.1460224122895789,-0.07766986086812577,-0.0714286778116231,-0.17388627272681267,-0.049902941426160696,-0.15092983412037686
2018-11-30,0.036098961049674916,-0.01877137866891676,0.054812599721370425,0.038819809886980305,,0.13102142132658212,0.1332548036868706,0.06842083474907645,0.09615386671704185,0.1685394400603042,0.05934518577906012,0.07582122902329269
2018-12-31,-0.08068460307732583,0.03339556606849858,0.026616144374684625,-0.03138998112353031,,0.0008969734556489861,0.03642022705591552,0.014778485807602992,-0.0061402976103523965,0.006410089117804496,-0.029620029463542807,0.018010992038605123
2019-01-31,0.04986686217326275,0.02655345720194302,0.05061726472197292,0.02932077696276747,,0.17562712882351672,0.08433750856552358,0.06310678101601708,0.0767871810093681,0.1019110666016978,0.09223635261086183,0.08461526003394182
2019-02-28,0.05826501454711264,0.02366558507901706,0.0681550282329253,-0.013620766870487522,,-0.009146261418104373,0.03240733773099036,0.029680329929594684,0.10901644045079362,-0.02947985278729126,0.0036450483494248065,0.11347528320640943
2019-03-31,-0.013166002138415012,-0.00881541317085588,0.03520364154424893,-0.0038971391328079807,,0.04627651434043978,-0.03317610518885272,0.0776051631205168,0.022620125818127113,0.07504457890652971,-0.03147716396078193,-0.004458630639098904
2019-04-30,-0.0006062576420486909,-0.022527894114446778,-0.00531358203284793,0.059468062455364956,,0.0051966462113350875,0.09728697368426298,-0.03909439592664932,-0.005848006485639545,0.0747923732665079,-0.0656247221290176,0.023032582249518763
