Date,EEM,GLD,HYG,IWM,LQD,QQQ,SLV,SPY,TLT,USO,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-01-05,0.002235907248604896,0.0028185529910356166,0.0018728323042298545,0.0021815060263934427,0.0005269406810068933,-0.001735215787287414,0.009097865280592421,0.0016914437759263379,-0.004034315767218355,-0.02914387141759789,-0.00046809594746954897,0.0038143350145596333,0.0038511050119851564,0.0026768793119071876,-0.0026023307171313403,0.006418751177778015,0.030301837183242863,0.0071772963504252996,0.004807215397480524,-0.0013012107433946207
2016-01-06,-0.019120464141006877,0.014440762350867997,0.0,-0.015238092977926332,0.003946717899131924,-0.009605520099487452,0.0037565165653079546,-0.012614520774948956,0.01347521070129698,-0.05159476534780483,-0.026217182339317247,-0.03849326737044889,-0.015345080366237385,-0.015446691445503147,-0.0123339873222853,-0.0033879652066602928,-0.009654546253823115,-0.001839520970380204,-0.008160611160273556,-0.009775909713210518
2016-01-07,-0.030864206170586272,0.014139709399294764,-0.006479792490452496,-0.026710605028609113,0.0007863566777586151,-0.031313431117347634,0.019461095476292822,-0.023991404955186812,0.0017950521290941435,-0.020771517831682185,-0.027163546553723217,-0.024399011440172202,-0.028138561956691954,-0.0271155620530249,-0.02953883047844308,-0.012000150141878052,-0.01834005655575932,-0.006678539653262816,-0.020287155922494193,-0.02053443933679766
2016-01-08,-0.010727346352773615,-0.004427708091822691,-0.0026342165141559626,-0.017223389627389563,0.000784868235674363,-0.008200764229655322,-0.023494838290234132,-0.010976468536262551,0.004478335727099436,-0.010100952691779574,-0.010131023587170662,-0.012856093622140907,-0.015590317483273552,-0.010153710051167386,-0.007918926796368853,-0.007692537871627381,-0.013110392137883564,-0.0004639641275042683,-0.015059253756868007,-0.010751417268231589
2016-01-11,-0.0003390142277296393,-0.008894799760520211,-0.0015088573377912695,-0.004333334257124011,-0.003226899268375494,0.00307669297560631,-0.006015031771336776,0.000989842514509398,-0.010943679368763393,-0.0561224673500359,-0.01697459802296819,-0.0214096030180434,0.0013576645304089752,0.0006037180744349335,0.006485099121762206,0.009384159152375116,0.005978223443291464,0.0053350732098687015,-0.011907950331397688,0.007879446884684782
2016-01-12,0.002033882738859294,-0.005060137388834152,0.0010076217150785105,0.0029980954565926865,0.0022758194234739904,0.011597726699927424,-0.0037821626115670526,0.008068434342173303,0.014424809764357116,-0.008648640400654606,0.0015232706732701828,0.002369717401330851,0.007681841089176578,0.008040207388033016,0.011896270150138166,0.005456814206681981,-0.010894913839917364,-0.003922348744852089,0.012795525940401786,0.011052583650372094
2016-01-13,-0.010487132163175428,0.004893984653210337,-0.011072429065303258,-0.03210898964420095,0.003055560151037584,-0.034489173753750046,0.024297622852730294,-0.024940646325371296,0.009857599915754856,-0.008724091934619316,-0.02307288179782696,-0.024008580963947868,-0.026008736939737487,-0.024127839316601785,-0.026940787646212216,-0.01829162184395372,-0.010347084248485072,-0.0004634727608756606,-0.029675139002599327,-0.0337289461336262
2016-01-14,0.012991489973473103,-0.016233809757639994,0.004453311276048533,0.013847329321372559,-0.004961697837790768,0.021295497479126624,-0.02223870984617493,0.016416687002814623,-0.009360930092476183,0.015401472750094625,0.01349623265400579,0.04304892994845089,0.00874733148067297,0.011851730975512842,0.018877302542601004,0.004709371649582739,0.003372803096425958,0.015064057718086055,0.02679769701593826,0.00717467625628343
2016-01-15,-0.03948714713558632,0.010289314914859515,-0.013172981547241891,-0.0162128402005971,-0.0014873434286057918,-0.031037083422412737,0.003790765149775055,-0.021466001814177127,0.015587183727490128,-0.047670596121903386,-0.020486401673325605,-0.02894383308080295,-0.02236449120950157,-0.017568814194277693,-0.028161955668105865,-0.01569211354754385,-0.016807052190503602,-0.00890462750983989,-0.014007916212744886,-0.02054798682488923
2016-01-19,0.014757779565848672,-0.000960784707550344,-0.0034655141594076566,-0.013483802033036563,-0.004467900121890689,0.0021815168811329944,0.009063435621868399,0.0013311648699683154,-0.0031015337505927443,-0.034129714679955514,-0.012287536508827412,-0.02152686294535089,-0.00046645558951852184,-0.00020547704088214047,0.0010167616630591958,0.012008676722520262,0.006837855260353409,0.014974080977683935,-0.00014929836901900195,0.003776213689444141
