Date,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
2001-09-30,-0.0864,-0.0641,-0.1133,-0.0787,-0.068,-0.0757,-0.0571,-0.1275,-0.0825,-0.0759,-0.1045,-0.056900000000000006,-0.0528,-0.0868,-0.0479,-0.065,-0.1082,-0.1436
2001-10-31,0.0096,0.0125,0.045,0.0096,0.024700000000000003,0.0075,-0.0101,0.0655,0.005699999999999999,0.0123,0.0097,0.028999999999999998,0.0036,0.0095,0.001,-0.0197,0.0479,0.0806
2001-11-30,0.0818,0.0622,0.0919,0.0794,0.045599999999999995,0.0795,0.0668,0.0986,0.0791,0.0797,0.0877,0.0338,0.0555,0.092,0.0645,0.0688,0.1001,0.0973
2001-12-31,0.0255,0.0215,0.0106,0.0197,0.0301,0.0288,0.0131,0.006,0.0409,0.0052,0.0392,0.0274,0.037200000000000004,0.0245,-0.0025,0.0269,0.035,-0.0184
2002-01-31,0.002,-0.0118,-0.015300000000000001,-0.0022,-0.013300000000000001,-0.0013,-0.0070999999999999995,-0.0215,0.0279,-0.0229,0.0118,-0.0208,0.015300000000000001,-0.0098,-0.0227,0.0062,-0.0078000000000000005,-0.0336
2002-02-28,-0.0037,0.0045000000000000005,-0.0495,-0.006999999999999999,0.005699999999999999,0.0064,-0.013500000000000002,-0.0575,-0.0173,0.0004,0.0042,0.0062,0.0189,-0.0001,-0.0024,-0.0227,-0.0326,-0.08
2002-03-31,0.059500000000000004,0.0317,0.0507,0.0545,0.045,0.0352,0.0329,0.051699999999999996,0.057699999999999994,0.052199999999999996,0.071,0.0371,0.028300000000000002,0.0388,0.0158,0.0475,0.044199999999999996,0.058899999999999994
2002-04-30,-0.0168,-0.032,-0.0801,-0.0231,-0.0418,-0.0176,-0.0464,-0.0874,-0.0218,-0.0241,-0.0022,-0.0541,0.021099999999999997,-0.038,-0.0342,-0.0565,-0.07730000000000001,-0.0969
2002-05-31,0.0004,-0.0060999999999999995,-0.022799999999999997,-0.0015,0.0085,-0.015,-0.0008,-0.031400000000000004,-0.005699999999999999,0.0015,0.0046,0.0098,-0.0149,-0.015,-0.0072,0.004699999999999999,-0.02,-0.0424
2002-06-30,-0.0496,-0.0721,-0.0764,-0.0565,-0.0482,-0.0891,-0.0608,-0.0812,-0.0632,-0.052000000000000005,-0.0346,-0.0526,-0.07200000000000001,-0.0986,-0.0596,-0.0617,-0.0611,-0.10099999999999999
2002-07-31,-0.09119999999999999,-0.0767,-0.0779,-0.0894,-0.0824,-0.0774,-0.0706,-0.08929999999999999,-0.0836,-0.094,-0.0929,-0.0662,-0.0953,-0.0626,-0.0827,-0.0643,-0.0672,-0.1127
2002-08-31,-0.010700000000000001,0.0161,0.0068000000000000005,-0.0108,0.002,0.0033,0.0108,0.0143,0.0181,-0.0339,-0.0105,0.0208,-0.0204,0.0222,0.035699999999999996,-0.0018,0.0202,0.0078000000000000005
2002-09-30,-0.1215,-0.09570000000000001,-0.098,-0.1293,-0.1048,-0.1036,-0.10339999999999999,-0.0849,-0.124,-0.1338,-0.1139,-0.0915,-0.0951,-0.1101,-0.0848,-0.11320000000000001,-0.0812,-0.0891
2002-10-31,0.0929,0.0696,0.0834,0.09449999999999999,0.0834,0.0683,0.0904,0.0683,0.11349999999999999,0.0785,0.0913,0.0722,0.1076,0.0378,0.07,0.1015,0.06559999999999999,0.07150000000000001
2002-11-30,0.10679999999999999,0.056799999999999996,0.041100000000000005,0.13,0.068,0.0557,0.053399999999999996,0.0371,0.12050000000000001,0.1382,0.08470000000000001,0.044000000000000004,0.061,0.051399999999999994,0.0677,0.0458,0.0226,0.0538
2002-12-31,-0.0765,-0.0451,-0.057300000000000004,-0.1107,-0.0418,-0.0392,-0.059699999999999996,-0.054400000000000004,-0.0981,-0.1216,-0.0426,-0.0407,-0.04769999999999999,-0.0318,-0.057999999999999996,-0.060599999999999994,-0.0391,-0.07150000000000001
2003-01-31,-0.0194,-0.026000000000000002,-0.0305,-0.019,-0.0169,-0.0319,-0.0317,-0.026600000000000002,-0.0305,-0.0086,-0.019799999999999998,-0.0125,-0.0361,-0.028399999999999998,-0.0254,-0.0352,-0.0233,-0.030299999999999997
2003-02-28,-0.0213,-0.0229,-0.0141,-0.0042,-0.030699999999999998,-0.026099999999999998,-0.0124,-0.0183,-0.0143,0.004699999999999999,-0.0371,-0.0213,-0.0327,-0.020499999999999997,-0.018600000000000002,-0.009000000000000001,-0.0104,-0.0276
2003-03-31,-0.0001,0.006999999999999999,0.0215,-0.0077,0.0106,-0.011200000000000002,0.0262,0.0197,-0.001,-0.0134,0.006999999999999999,0.0159,0.0028000000000000004,-0.0227,0.031200000000000002,0.0236,0.0363,-0.0002
2003-04-30,0.0907,0.07490000000000001,0.0851,0.09970000000000001,0.0712,0.07490000000000001,0.08810000000000001,0.08259999999999999,0.08349999999999999,0.11380000000000001,0.08220000000000001,0.0556,0.0716,0.0776,0.0885,0.08800000000000001,0.06509999999999999,0.1042
2003-05-31,0.09140000000000001,0.0579,0.051500000000000004,0.1162,0.0626,0.0855,0.028999999999999998,0.06559999999999999,0.1411,0.0977,0.069,0.053099999999999994,0.054000000000000006,0.1118,0.0172,0.0353,0.0471,0.0877
2003-06-30,0.0086,0.0165,0.0159,-0.0015,0.0075,0.0194,0.027200000000000002,0.0073,0.0036,-0.0054,0.0182,-0.0083,0.0141,0.0236,0.028999999999999998,0.0262,-0.0003,0.0159
2003-07-31,0.0344,0.0218,0.0229,0.0361,0.0216,0.0259,0.0239,0.0173,0.0345,0.0375,0.030600000000000002,0.017,0.0203,0.0282,0.0172,0.0296,0.0069,0.030600000000000002
